state,district,city,property_type,beds,baths,size_sqft,furnishing,facing,age_years,price_inr,locality_key
Telangana,Jangaon,Jangaon,Independent House,5,4,2590,Unfurnished,North,1,10125000,Jangaon | Jangaon Town
Andhra Pradesh,Anantapur,Anantapur,Villa,4,4,2836,Semi-Furnished,East,7,11850000,Anantapur | Tapovanam
Andhra Pradesh,Anakapalli,Anakapalle,Independent House,4,4,1767,Furnished,East,0,7950000,Anakapalli | Anakapalle Town
Andhra Pradesh,Anakapalli,Anakapalle,Residential Plot,0,0,1503,Not Applicable,South,0,1900000,Anakapalli | Atchutapuram
Andhra Pradesh,Vizianagaram,Vizianagaram,Independent House,4,4,2035,Unfurnished,South-East,3,5875000,Vizianagaram | Pusapatirega
Andhra Pradesh,Kakinada,Kakinada,Apartment,4,3,2422,Semi-Furnished,East,9,8900000,Kakinada | Kovvada
Andhra Pradesh,Annamayya,Madanapalle,Residential Plot,0,0,1620,Not Applicable,North,0,1500000,Annamayya | Pileru
Telangana,Mahabubnagar,Mahabubnagar,Residential Plot,0,0,2403,Not Applicable,North,0,3575000,Mahabubnagar | Jadcherla
Telangana,Wanaparthy,Wanaparthy,Independent House,5,5,2655,Unfurnished,South,0,4225000,Wanaparthy | Peddamandadi
Andhra Pradesh,Krishna,Vijayawada,Residential Plot,0,0,2700,Not Applicable,East,0,5900000,Krishna | Penamaluru
Andhra Pradesh,Markapuram,Markapuram,Independent Builder Floor,3,3,1430,Semi-Furnished,North-East,9,4300000,Markapuram | Markapuram Town
Andhra Pradesh,Anantapur,Anantapur,Independent Builder Floor,3,3,1526,Unfurnished,North,0,5475000,Anantapur | Subhash Road
Andhra Pradesh,Tirupati,Tirupati,Villa,3,4,1562,Unfurnished,North,8,13025000,Tirupati | K.T. Road
Andhra Pradesh,Kakinada,Kakinada,Independent House,4,4,2503,Furnished,North,1,14525000,Kakinada | Sarpavaram
Andhra Pradesh,Annamayya,Madanapalle,Apartment,1,1,538,Furnished,East,8,2100000,Annamayya | Madanapalle Town
Andhra Pradesh,Vizianagaram,Vizianagaram,Apartment,3,3,1699,Unfurnished,South,5,4350000,Vizianagaram | Pusapatirega
Andhra Pradesh,Prakasam,Ongole,Apartment,1,1,568,Semi-Furnished,North,3,1575000,Prakasam | Maddipadu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Villa,4,5,3144,Unfurnished,South,2,17650000,Sri Potti Sriramulu Nellore | Dargamitta
Telangana,Hanumakonda,Hanamkonda,Residential Plot,0,0,2700,Not Applicable,East,0,6450000,Hanumakonda | Balasamudram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Independent House,3,4,1751,Unfurnished,South-East,19,6825000,Sri Potti Sriramulu Nellore | Dargamitta
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,2,1016,Semi-Furnished,North-East,4,6550000,Sri Potti Sriramulu Nellore | Dargamitta
Andhra Pradesh,Nandyal,Nandyal,Independent House,3,4,1932,Unfurnished,West,12,2800000,Nandyal | Atmakur
Andhra Pradesh,Guntur,Guntur,Villa,4,3,2512,Unfurnished,North-East,1,11875000,Guntur | Pedakakani
Andhra Pradesh,Guntur,Amaravati,Apartment,3,3,1266,Semi-Furnished,West,5,5725000,Guntur | Vaddeswaram
Andhra Pradesh,Guntur,Amaravati,Apartment,2,3,976,Semi-Furnished,West,1,6750000,Guntur | Mangalagiri
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,3,3,1829,Furnished,South-East,0,10050000,East Godavari | Danavaipeta
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,2,2,984,Unfurnished,North,5,8450000,Visakhapatnam | Dwaraka Nagar
Andhra Pradesh,West Godavari,Bhimavaram,Apartment,1,1,506,Semi-Furnished,South,9,2450000,West Godavari | Bhimavaram Town
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1451,Semi-Furnished,West,3,12600000,Hyderabad | Secunderabad
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,2237,Semi-Furnished,South-East,25,10550000,Medchal Malkajgiri | Nagaram
Andhra Pradesh,Krishna,Machilipatnam,Villa,3,4,1860,Unfurnished,South,1,7950000,Krishna | Vuyyuru
Andhra Pradesh,Anantapur,Anantapur,Villa,3,3,2025,Unfurnished,North-East,11,6500000,Anantapur | Tadipatri
Telangana,Hyderabad,Hyderabad,Independent House,5,6,2161,Unfurnished,North,0,15625000,Hyderabad | Mehdipatnam
Telangana,Bhadradri Kothagudem,Kothagudem,Apartment,3,3,1779,Semi-Furnished,North-East,1,4575000,Bhadradri Kothagudem | Sujathanagar
Telangana,Wanaparthy,Wanaparthy,Residential Plot,0,0,900,Not Applicable,West,0,1275000,Wanaparthy | Wanaparthy Town
Andhra Pradesh,Vizianagaram,Vizianagaram,Villa,4,4,2682,Unfurnished,North-East,6,7625000,Vizianagaram | Pusapatirega
Andhra Pradesh,Anantapur,Anantapur,Independent House,4,5,2185,Semi-Furnished,South,11,3525000,Anantapur | Singanamala
Andhra Pradesh,West Godavari,Bhimavaram,Independent House,5,5,2550,Furnished,South,7,6075000,West Godavari | Achanta
Telangana,Hyderabad,Hyderabad,Apartment,1,1,516,Unfurnished,South-East,0,4000000,Hyderabad | Musheerabad
Telangana,Nalgonda,Nalgonda,Independent House,4,4,2204,Unfurnished,North-East,8,6000000,Nalgonda | Miryalaguda
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Villa,5,4,3343,Semi-Furnished,South,2,17100000,Sri Potti Sriramulu Nellore | Vedayapalem
Telangana,Mahabubnagar,Mahabubnagar,Residential Plot,0,0,900,Not Applicable,North,0,625000,Mahabubnagar | Koilkonda
Telangana,Bhadradri Kothagudem,Kothagudem,Independent House,2,2,897,Unfurnished,East,1,3100000,Bhadradri Kothagudem | Kothagudem Town
Telangana,Nalgonda,Nalgonda,Villa,3,3,1652,Unfurnished,East,9,3475000,Nalgonda | Haliya
Andhra Pradesh,Anantapur,Anantapur,Apartment,2,2,1004,Unfurnished,South-East,0,3375000,Anantapur | Tapovanam
Andhra Pradesh,Palnadu,Narasaraopet,Apartment,2,1,1042,Unfurnished,South,8,1875000,Palnadu | Macherla
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Residential Plot,0,0,2997,Not Applicable,South,0,5650000,Sri Potti Sriramulu Nellore | Mini Bypass Road
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Residential Plot,0,0,3600,Not Applicable,East,0,19075000,Visakhapatnam | MVP Colony
Andhra Pradesh,Tirupati,Tirupati,Apartment,3,3,1776,Unfurnished,North-East,21,8000000,Tirupati | K.T. Road
Telangana,Warangal,Warangal,Apartment,4,3,1892,Unfurnished,East,0,7625000,Warangal | Khila Warangal
Telangana,Sangareddy,Hyderabad,Apartment,1,2,562,Unfurnished,North-East,0,5750000,Sangareddy | Tellapur
Telangana,Yadadri Bhuvanagiri,Bhongir,Independent Builder Floor,3,3,1431,Unfurnished,East,0,4875000,Yadadri Bhuvanagiri | Bibinagar
Telangana,Nagarkurnool,Nagarkurnool,Independent House,3,4,1728,Semi-Furnished,East,5,6075000,Nagarkurnool | Nagarkurnool Town
Telangana,Nagarkurnool,Nagarkurnool,Apartment,3,4,1333,Unfurnished,West,0,4750000,Nagarkurnool | Nagarkurnool Town
Andhra Pradesh,NTR,Vijayawada,Apartment,1,1,616,Unfurnished,North-East,7,3475000,NTR | Gunadala
Andhra Pradesh,Anantapur,Anantapur,Independent House,4,4,1994,Furnished,West,4,9875000,Anantapur | Rudrampeta
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,2,882,Unfurnished,South-East,1,3450000,Sri Potti Sriramulu Nellore | Kavali
Andhra Pradesh,Chittoor,Chittoor,Apartment,1,1,619,Semi-Furnished,North,22,2275000,Chittoor | Gandhi Road
Telangana,Mulugu,Mulugu,Independent House,4,5,2384,Furnished,North,7,6600000,Mulugu | Mulugu Town
Andhra Pradesh,NTR,Vijayawada,Apartment,2,2,1087,Unfurnished,North-East,0,5500000,NTR | Ambapuram
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,1350,Not Applicable,West,0,10850000,Hyderabad | Secunderabad
Telangana,Rangareddy,Hyderabad,Apartment,2,3,1005,Unfurnished,South-East,2,4550000,Rangareddy | Kothur
Andhra Pradesh,Palnadu,Narasaraopet,Apartment,2,2,879,Semi-Furnished,North-East,4,2800000,Palnadu | Sattenapalle
Andhra Pradesh,YSR Kadapa,Kadapa,Villa,4,3,2191,Unfurnished,South,5,5375000,YSR Kadapa | Kamalapuram
Andhra Pradesh,Markapuram,Markapuram,Apartment,2,2,1005,Semi-Furnished,West,0,2200000,Markapuram | Kanigiri
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,1800,Not Applicable,North,0,6475000,NTR | Labbipet
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,3,4,1604,Unfurnished,East,0,7100000,Visakhapatnam | Kurmannapalem
Telangana,Khammam,Khammam,Villa,4,4,2354,Unfurnished,South-East,1,14275000,Khammam | Gandhi Chowk
Telangana,Karimnagar,Karimnagar,Apartment,2,2,1216,Unfurnished,South,0,5000000,Karimnagar | Kashmirgadda
Telangana,Mancherial,Mancherial,Independent House,2,2,1262,Semi-Furnished,North-East,1,4200000,Mancherial | Mancherial Town
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,3,3,1462,Unfurnished,South-East,0,4725000,Sri Potti Sriramulu Nellore | Muthukur
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Independent House,3,2,1586,Unfurnished,North,2,3700000,Dr. B.R. Ambedkar Konaseema | Kothapeta
Andhra Pradesh,Palnadu,Narasaraopet,Independent House,4,4,2110,Semi-Furnished,South-East,13,3550000,Palnadu | Gurazala
Telangana,Hyderabad,Hyderabad,Apartment,3,3,1714,Unfurnished,North,0,11575000,Hyderabad | Malakpet
Telangana,Mahabubabad,Mahabubabad,Independent House,2,2,1116,Unfurnished,West,6,1300000,Mahabubabad | Narsimhulapet
Andhra Pradesh,Annamayya,Madanapalle,Villa,3,3,2001,Unfurnished,North,4,9925000,Annamayya | Madanapalle Town
Telangana,Bhadradri Kothagudem,Kothagudem,Apartment,3,4,1432,Unfurnished,North,25,3400000,Bhadradri Kothagudem | Palvancha
Telangana,Sangareddy,Sangareddy,Apartment,2,2,849,Furnished,West,1,4375000,Sangareddy | Sangareddy Town
Andhra Pradesh,East Godavari,Rajahmundry,Villa,4,5,2893,Unfurnished,West,4,9500000,East Godavari | Seethanagaram
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,900,Not Applicable,North-East,0,1825000,Guntur | Tenali
Andhra Pradesh,NTR,Vijayawada,Apartment,3,3,1379,Unfurnished,East,0,8000000,NTR | Ajit Singh Nagar
Andhra Pradesh,Anantapur,Anantapur,Apartment,3,3,1612,Unfurnished,East,0,5625000,Anantapur | Kamala Nagar
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,900,Not Applicable,East,0,5600000,Hyderabad | Mehdipatnam
Telangana,Peddapalli,Peddapalli,Independent House,3,3,1389,Unfurnished,East,6,3725000,Peddapalli | Godavarikhani
Andhra Pradesh,Eluru,Eluru,Apartment,2,2,1022,Unfurnished,East,0,2300000,Eluru | Pedavegi
Andhra Pradesh,Anakapalli,Anakapalle,Apartment,2,3,1054,Unfurnished,South,0,2825000,Anakapalli | Kasimkota
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1475,Unfurnished,South,4,18275000,Hyderabad | Jubilee Hills
Andhra Pradesh,NTR,Vijayawada,Apartment,3,3,1387,Unfurnished,North-East,2,7350000,NTR | Bhavanipuram
Telangana,Adilabad,Adilabad,Residential Plot,0,0,1197,Not Applicable,South-East,0,825000,Adilabad | Boath
Andhra Pradesh,Palnadu,Narasaraopet,Apartment,1,2,427,Unfurnished,West,0,1050000,Palnadu | Sattenapalle
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,3,1778,Unfurnished,North,0,14950000,Medchal Malkajgiri | Kompally
Andhra Pradesh,Anakapalli,Anakapalle,Apartment,3,2,1284,Unfurnished,South-East,4,5150000,Anakapalli | Parawada
Andhra Pradesh,Srikakulam,Srikakulam,Independent House,3,2,1706,Unfurnished,North-East,1,6875000,Srikakulam | Srikakulam Town
Telangana,Khammam,Khammam,Independent House,2,2,1094,Unfurnished,East,1,5075000,Khammam | Mamillagudem
Andhra Pradesh,East Godavari,Rajahmundry,Residential Plot,0,0,2997,Not Applicable,East,0,3900000,East Godavari | Seethanagaram
Telangana,Rajanna Sircilla,Sircilla,Independent House,4,4,1982,Unfurnished,North,1,3200000,Rajanna Sircilla | Ellanthakunta
Andhra Pradesh,NTR,Vijayawada,Apartment,3,3,1478,Semi-Furnished,North,2,13575000,NTR | Governorpet
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,3,4,1302,Unfurnished,North,0,4975000,Sri Potti Sriramulu Nellore | Kavali
Andhra Pradesh,West Godavari,Bhimavaram,Apartment,3,3,1434,Semi-Furnished,South,0,4250000,West Godavari | Akividu
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Villa,5,6,3046,Unfurnished,South,11,36950000,Visakhapatnam | Dwaraka Nagar
Andhra Pradesh,Eluru,Eluru,Apartment,2,2,914,Unfurnished,East,0,2250000,Eluru | Pedavegi
Andhra Pradesh,Anantapur,Anantapur,Independent House,4,4,1968,Unfurnished,West,1,6325000,Anantapur | Gandhi Nagar
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,3,4,1466,Semi-Furnished,South-East,0,7050000,Visakhapatnam | Gopalapatnam
Telangana,Adilabad,Adilabad,Apartment,2,3,1235,Unfurnished,South-East,0,2200000,Adilabad | Jainad
Telangana,Mahabubnagar,Mahabubnagar,Independent House,3,2,1568,Unfurnished,South,0,5300000,Mahabubnagar | Jadcherla
Andhra Pradesh,Eluru,Eluru,Residential Plot,0,0,1350,Not Applicable,East,0,1575000,Eluru | Chintalapudi
Telangana,Nagarkurnool,Nagarkurnool,Apartment,3,3,1254,Unfurnished,North,0,4625000,Nagarkurnool | Nagarkurnool Town
Telangana,Bhadradri Kothagudem,Kothagudem,Independent House,5,5,2144,Unfurnished,South,3,5900000,Bhadradri Kothagudem | Palvancha
Telangana,Peddapalli,Peddapalli,Independent House,2,2,1212,Unfurnished,South,0,5425000,Peddapalli | Peddapalli Town
Andhra Pradesh,Tirupati,Tirupati,Apartment,3,3,1391,Unfurnished,North-East,0,8075000,Tirupati | K.T. Road
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,5,5,2350,Unfurnished,North,2,14450000,Medchal Malkajgiri | Jeedimetla
Telangana,Karimnagar,Karimnagar,Apartment,2,3,1039,Semi-Furnished,North-East,19,4200000,Karimnagar | Ramnagar
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,2,1,1240,Semi-Furnished,East,10,5925000,East Godavari | Prakash Nagar
Telangana,Medak,Medak,Residential Plot,0,0,1197,Not Applicable,West,0,775000,Medak | Papannapet
Telangana,Warangal,Warangal,Apartment,3,3,1529,Semi-Furnished,East,17,2775000,Warangal | Sangem
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,2,3,805,Unfurnished,North,13,6500000,Visakhapatnam | Rushikonda
Telangana,Siddipet,Siddipet,Apartment,3,3,1328,Semi-Furnished,East,1,3950000,Siddipet | Dubbaka
Telangana,Bhadradri Kothagudem,Kothagudem,Apartment,3,3,1268,Unfurnished,South-East,1,2300000,Bhadradri Kothagudem | Dammapeta
Andhra Pradesh,East Godavari,Rajahmundry,Independent Builder Floor,2,2,946,Unfurnished,East,0,2600000,East Godavari | Korukonda
Andhra Pradesh,Polavaram,Rampachodavaram,Residential Plot,0,0,2160,Not Applicable,North-East,0,1225000,Polavaram | Kunavaram
Andhra Pradesh,Tirupati,Tirupati,Apartment,3,2,1697,Unfurnished,North-East,9,13200000,Tirupati | Air Bypass Road
Telangana,Karimnagar,Karimnagar,Residential Plot,0,0,1620,Not Applicable,West,0,2575000,Karimnagar | Chaitanyapuri
Telangana,Suryapet,Suryapet,Independent House,6,6,3317,Furnished,South-East,9,9275000,Suryapet | Kodad
Telangana,Nizamabad,Nizamabad,Apartment,1,1,534,Semi-Furnished,North-East,5,1625000,Nizamabad | Armoor
Andhra Pradesh,Palnadu,Narasaraopet,Apartment,3,3,1863,Semi-Furnished,North-East,0,4525000,Palnadu | Macherla
Andhra Pradesh,Guntur,Amaravati,Apartment,2,2,1028,Unfurnished,North,8,6050000,Guntur | Mangalagiri
Andhra Pradesh,Anantapur,Anantapur,Residential Plot,0,0,1800,Not Applicable,South,0,1500000,Anantapur | Kalyandurg
Telangana,Hanumakonda,Hanamkonda,Apartment,3,2,1496,Unfurnished,South-East,9,4675000,Hanumakonda | Dharmasagar
Andhra Pradesh,West Godavari,Bhimavaram,Independent House,4,3,2419,Semi-Furnished,East,1,8475000,West Godavari | Tanuku
Andhra Pradesh,Krishna,Machilipatnam,Independent House,4,4,2096,Semi-Furnished,South-East,17,8075000,Krishna | Machilipatnam Town
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1800,Not Applicable,North,0,5075000,Guntur | Arundelpet
Andhra Pradesh,NTR,Vijayawada,Villa,5,5,3546,Unfurnished,North,9,14850000,NTR | Mylavaram
Telangana,Mahabubnagar,Mahabubnagar,Apartment,2,3,1087,Unfurnished,North,2,4325000,Mahabubnagar | Mahabubnagar Town
Andhra Pradesh,Anakapalli,Anakapalle,Independent House,5,5,2489,Semi-Furnished,South,3,11050000,Anakapalli | Sabbavaram
Telangana,Warangal,Warangal,Apartment,2,2,1043,Furnished,West,4,2200000,Warangal | Sangem
